Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2024-07-30 19:57 (GMT),,,26,Walking,,26 min Outdoor Walking,,168,,,,1.94,0.85,82,,,
2024-07-31 22:59 (+01),On Demand,Matt Wilpers,30,Running,Endurance,30 min Progression Run,2024-06-26 10:54 (+01),0,,,,0,0,218,,0,
2024-08-01 00:34 (+01),On Demand,Ross Rayburn,30,Meditation,Sleep,30 min Sleep Meditation,2024-04-24 16:00 (+01),,,,,,,,,,
2024-08-01 18:34 (GMT),,,118,Walking,,118 min 23 sec Outdoor Walking,,796,,,,1.94,4.13,372,,,
2024-08-02 23:10 (+01),On Demand,Nico Sarani,30,Meditation,Sleep,30 min Sleep Meditation,2024-07-08 16:00 (+01),,,,,,,,,,
2024-08-03 23:27 (+01),On Demand,Ally & Hannah ,10,Stretching,Full Body Stretch,10 min Two for One Full Body Stretch,2024-08-02 15:00 (+01),,,,,,,29,,,
2024-08-04 10:40 (+01),On Demand,Jess Sims,30,Cardio,HIIT,30 min HIIT Cardio,2024-06-10 17:53 (+01),,,,,,,175,,,
2024-08-04 18:02 (+01),On Demand,Susie Chan,30,Walking,Walk + Run,30 min Walk + Run,2024-07-10 10:56 (+01),509,,,,6.38,3.20,290,123.15,,
2024-08-04 18:40 (+01),On Demand,Jess Sims,5,Walking,Cool Down,5 min Cool Down Walk,2024-07-02 15:00 (+01),56,,,,4.00,0.33,40,112.07,,
2024-08-04 21:40 (GMT),On Demand,Adrian Williams,20,Strength,Upper Body,20 min Arms & Shoulders Strength,2024-07-17 05:00 (GMT),,,,,,,79,,,
2024-08-04 22:08 (GMT),On Demand,Aditi Shah,10,Yoga,Focus Flow,10 min Focus Flow: Hamstrings,2024-08-01 12:30 (GMT),,,,,,,27,,,
2024-08-05 00:48 (+01),On Demand,Ross Rayburn,30,Meditation,Sleep,30 min Sleep Meditation,2024-06-25 16:00 (+01),,,,,,,,,,
2024-08-05 17:59 (GMT),,,97,Cardio,,97 min 53 sec Just Cardio,,,,,,,,454,,,
2024-08-06 21:40 (+01),On Demand,Charlotte Weidenbach,30,Cycling,Intervals,30 min HIIT & Hills Ride,2024-08-05 05:55 (+01),287,159,47%,77,19.26,9.63,387,,,
2024-08-06 22:16 (+01),On Demand,Hannah Corbin,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2024-07-31 05:00 (+01),,,,,,,15,,,
2024-08-06 23:30 (GMT),Live,Kirra Michel,30,Yoga,Flow,30 min Yoga Flow,2024-08-06 23:26 (GMT),,,,,,,81,,,
2024-08-07 00:28 (+01),On Demand,Ross Rayburn,30,Meditation,Sleep,30 min Sleep Meditation,2024-04-24 16:00 (+01),,,,,,,,,,
2024-08-07 17:59 (GMT),,,99,Cardio,,99 min 45 sec Just Cardio,,,,,,,,462,,,
2024-08-07 21:26 (+01),On Demand,Denis Morton,30,Cycling,Power Zone,30 min Power Zone Endurance Ride,2024-06-29 20:25 (+01),301,167,45%,85,19.79,9.89,407,,,
2024-08-07 22:03 (+01),On Demand,Cody Rigsby,5,Cycling,Cool Down,5 min Cool Down Ride,2024-07-31 05:00 (+01),41,136,44%,79,18.33,1.52,55,,,
2024-08-07 22:21 (+01),On Demand,Tunde Oyeneyin,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2024-07-26 05:00 (+01),,,,,,,15,,,
2024-08-07 23:45 (GMT),On Demand,Selena Samuela,10,Stretching,Mobility,10 min Hip Mobility,2024-08-07 05:00 (GMT),,,,,,,18,,,
2024-08-08 19:26 (+01),On Demand,Camila Ramon,5,Running,Warm Up,5 min Warm Up Run,2024-08-06 05:00 (+01),76,,,,5.80,0.49,31,95.73,1.00,10:20
2024-08-08 19:32 (+01),On Demand,Mariana Fernandez,30,Running,Endurance,30 min Endurance Run,2024-07-21 19:00 (+01),688,,,,9.00,4.28,279,165.91,1.83,6:40
2024-08-08 20:07 (+01),On Demand,Matt Wilpers,5,Running,Cool Down,5 min Cool Down Run,2024-05-23 15:00 (+01),39,,,,3.11,0.25,44,116.19,1.00,19:17
2024-08-09 00:55 (+01),On Demand,Kirra Michel,20,Meditation,Sleep,20 min Sleep Meditation,2024-04-02 16:00 (+01),,,,,,,,,,
2024-08-09 13:56 (+01),On Demand,Becs Gentry,5,Running,Warm Up,5 min Warm Up Run,2024-06-04 15:00 (+01),19,,,,4.86,0.12,16,,0.70,12:20
2024-08-09 14:00 (+01),Live,Susie Chan,45,Running,Endurance,45 min Endurance Run,2024-06-28 18:24 (+01),1072,,,,8.98,6.73,459,122.85,1.44,6:41
2024-08-09 14:47 (+01),On Demand,Matt Wilpers,5,Running,Cool Down,5 min Cool Down Run,2024-05-23 15:00 (+01),39,,,,2.97,0.25,49,124.23,1.00,20:11
2024-08-09 14:54 (+01),On Demand,Matt Wilpers,5,Stretching,Post-Run Stretch,5 min Post-Run Stretch,2024-01-30 08:00 (+01),,,,,,,37,109.20,,
2024-08-09 15:35 (GMT),On Demand,Aditi Shah,30,Yoga,Power,30 min Chappell Roan Power Flow,2024-08-08 23:25 (GMT),,,,,,,75,,,
2024-08-09 18:16 (GMT),,,58,Walking,,58 min 11 sec Outdoor Walking,,386,,,,2.10,2.20,183,,,
2024-08-10 09:57 (GMT),,,150,Cardio,,150 min 4 sec Just Cardio,,,,,,,,695,,,
2024-08-11 00:32 (+01),On Demand,Ross Rayburn,30,Meditation,Sleep,30 min Sleep Meditation,2023-05-31 16:00 (+01),,,,,,,,,,
2024-08-11 23:35 (GMT),On Demand,Mariana Fernandez,20,Yoga,Focus Flow,20 min Focus Flow: For Runners,2024-05-22 23:25 (GMT),,,,,,,49,,,
2024-08-12 00:00 (GMT),On Demand,Chelsea Jackson Roberts,30,Yoga,Restorative,30 min Restorative,2021-01-21 14:54 (GMT),,,,,,,42,,,
2024-08-12 00:53 (+01),On Demand,Ross Rayburn,30,Meditation,Sleep,30 min Sleep Meditation,2023-05-31 16:00 (+01),,,,,,,,,,
2024-08-12 23:07 (GMT),On Demand,Denis Morton,30,Yoga,Flow,30 min 80s Yoga Flow,2024-08-10 17:26 (GMT),,,,,,,22,,,
2024-08-13 00:24 (+01),On Demand,Ross Rayburn,30,Meditation,Sleep,30 min Sleep Meditation,2023-03-17 16:00 (+01),,,,,,,,,,
2024-08-13 20:59 (+01),On Demand,Camila Ramon,5,Cycling,Warm Up,5 min Warm Up Ride,2024-08-13 05:00 (+01),0,0,37%,0,0.00,0,0,,,
2024-08-13 21:08 (+01),On Demand,Denis Morton,45,Cycling,Power Zone,45 min Power Zone Endurance 80s Ride,2024-06-04 22:25 (+01),469,174,48%,80,20.11,15.08,604,152.00,,
2024-08-13 21:55 (+01),On Demand,Emma Lovewell,5,Cycling,Cool Down,5 min Cool Down Ride,2023-02-06 17:00 (+01),36,119,38%,87,17.11,1.42,52,128.59,,
2024-08-13 22:01 (+01),On Demand,Matt Wilpers,5,Stretching,Pre & Post-Ride Stretch,5 min AFO Post-Ride Stretch: The 1975,2022-08-19 13:15 (+01),,,,,,,30,100.11,,
2024-08-13 22:07 (+01),On Demand,Jess Sims,5,Strength,Core,5 min Core Strength,2024-04-17 19:00 (+01),,,,,,,23,85.96,,
2024-08-14 00:10 (GMT),On Demand,Denis Morton,10,Yoga,Focus Flow,10 min Focus Flow: Floor Poses,2023-09-05 15:00 (GMT),,,,,,,22,,,
2024-08-14 00:31 (+01),On Demand,Kirra Michel,20,Meditation,Sleep,20 min Sleep Meditation,2022-05-26 16:00 (+01),,,,,,,,,,
2024-08-14 12:55 (+01),On Demand,Hannah Frankson,30,Running,Speed,30 min Tempo Run,2023-11-25 14:30 (+01),735,,,,9.45,4.72,263,114.34,1.00,6:21
2024-08-14 13:30 (+01),On Demand,Kirsten Ferguson,5,Walking,Cool Down,5 min Cool Down Walk,2023-05-04 15:00 (+01),39,,,,2.99,0.25,30,,,
2024-08-14 18:02 (GMT),,,117,Cardio,,117 min 4 sec Just Cardio,,,,,,,,542,,,
2024-08-14 23:38 (GMT),On Demand,Denis Morton,30,Yoga,Focus Flow,30 min Focus Flow: Healthy Back,2024-08-02 16:55 (GMT),,,,,,,75,,,
2024-08-15 01:07 (+01),On Demand,Anna Greenberg,30,Meditation,Sleep,30 min Sleep Meditation,2024-08-14 05:00 (+01),,,,,,,,,,
2024-08-15 23:57 (GMT),On Demand,Kirra Michel,20,Yoga,Focus Flow,20 min Focus Flow: Chest Openers,2024-08-15 16:55 (GMT),,,,,,,9,,,
2024-08-16 01:29 (+01),On Demand,Anna Greenberg,30,Meditation,Sleep,30 min Sleep Meditation,2024-08-14 05:00 (+01),,,,,,,,,,
2024-08-16 22:35 (GMT),On Demand,Ross Rayburn,30,Meditation,Sleep,30 min Sleep Meditation,2023-03-17 15:00 (GMT),,,,,,,,,,
2024-08-18 02:17 (NZDT),,,10,Cardio,,10 min 57 sec Just Cardio,,,,,,,,51,,,
2024-08-17 16:43 (+01),On Demand,Hannah Corbin,5,Stretching,Lower Body Stretch,5 min Lower Body Stretch,2024-08-16 05:00 (+01),,,,,,,10,,,
2024-08-18 12:15 (CET),,,46,Cardio,,46 min 21 sec Just Cardio,,,,,,,,215,,,
2024-08-19 21:09 (CET),,,93,Meditation,,93 min 54 sec Just Meditate,,,,,,,,74,,,
